text,intent
I have an issue I want to complain about,general_complaint
I want to report a fraudulent transaction,report_fraud
buy 10GB monthly data bundle,buy_data_bundle
how far,greeting
what is my airtime balance,check_balance
"please deactivate my line, it was stolen",block_sim
I want to see my internet data balance,check_data_balance
I want to call my mum,call_contact
load 1GB data for me now,buy_data_bundle
tell me how much credit I have,check_balance
I need my number reactivated,unblock_sim
can you turn on international roaming for me,activate_roaming
e no correct,no
make I lodge complaint about una service,general_complaint
I am not happy with your service,general_complaint
please cancel this request,cancel
escalate this to a live agent,speak_to_agent
good afternoon,greeting
that's right,yes
"I no wan talk to robot, give me person",speak_to_agent
is there any special package available,check_offers
load 1GB data for me now,buy_data_bundle
am I talking to a real person,are_you_a_bot
no thank you,no
"e do, thank you",thank_you
call the office,call_contact
how you dey,greeting
what is my airtime balance,check_balance
there is an unauthorized deduction on my account,report_fraud
how much money do I have on my line,check_balance
"please deactivate my line, it was stolen",block_sim
abeg repeat wetin you talk,repeat
"abeg activate roaming, I dey travel soon",activate_roaming
can you turn on international roaming for me,activate_roaming
I want to speak to a human agent,speak_to_agent
abeg any offer dey now,check_offers
I need to block my line before someone uses it,block_sim
"block this number, someone stole my phone",block_sim
escalate this to a live agent,speak_to_agent
are you a robot,are_you_a_bot
how much MB or GB I get now,check_data_balance
"I am travelling, please enable roaming",activate_roaming
I want to use my line when I travel out of the country,activate_roaming
"e do, thank you",thank_you
activate international roaming on my line,activate_roaming
"my line was blocked by mistake, please unblock it",unblock_sim
add 50 naira airtime abeg,recharge_airtime
tell me my remaining internet data,check_data_balance
abeg change my plan to the student plan,change_plan
make I lodge complaint about una service,general_complaint
add 200 naira airtime abeg,recharge_airtime
stop the process,cancel
network dey bad for my side,report_network_issue
I want to use my line when I travel out of the country,activate_roaming
enable my line for use abroad,activate_roaming
how much MB or GB I get now,check_data_balance
change my current plan,change_plan
yes that's correct,yes
call my broda,call_contact
not that one,no
"I no wan talk to robot, give me person",speak_to_agent
activate international roaming on my line,activate_roaming
hello,greeting
are you an actual agent or AI,are_you_a_bot
alright thanks a lot,goodbye
data balance enquiry,check_data_balance
tell me about ongoing promos,check_offers
correct,yes
tell me my remaining internet data,check_data_balance
balance enquiry,check_balance
please dial my mum,call_contact
I want to recharge 50 naira,recharge_airtime
activate 10GB monthly internet plan for me,buy_data_bundle
check my balance,check_balance
"abeg thank you o, God bless",thank_you
I am not getting network in my area,report_network_issue
hi there,greeting
are you an actual agent or AI,are_you_a_bot
